Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Zulu,English
0,0,0,umfazi,wife
2,2,2,umuntu,person
3,3,3,umntwana,baby
4,4,4,umyeni,husband
5,5,5,umama,mother
6,6,7,isilwane,animal
7,7,8,inhlanzi,fish
8,8,9,inyoni,fowl
9,9,10,inja,dog
10,10,11,intwala,louse
11,11,12,inyoka,snake
12,12,13,isibungu,maggot
13,13,14,isihlahla,tree
14,14,15,ihlathi,forest
15,15,17,isithelo,product
16,16,19,igxolo,bark
17,17,20,imbali,flower
18,18,21,intambo,string
19,19,22,isikhumba,skin
20,20,23,inyama,flesh
22,22,25,ithambo,bone
23,23,26,iqanda,egg
24,24,27,umsila,tail
25,25,28,uphaphe,feather
26,26,29,unwele,cobreak
27,27,30,ikhanda,head
28,28,32,ikhala,nose
29,29,33,umlomo,mouth
30,30,34,izinyo,tooth
31,31,35,ulimi,language
32,32,37,unyawo,foot
33,33,38,umlenze,leg
34,34,39,isandla,hand
35,35,40,iphiko,wing
36,36,41,isisu,pregnancy
37,37,42,intamo,neck
38,38,43,umhlane,back
39,39,44,inhliziyo,heart
40,40,45,isibindi,courage
41,41,46,phuza,drink
42,43,48,inyanga,month
43,44,49,imbasa,star
44,45,51,imvula,rain
45,46,53,ichibi,lake
46,47,54,ulwandle,ocean
47,48,55,itswayi,salt
48,49,56,itshe,stone
49,50,57,isihlabathi,sand
50,51,58,uthuli,dust
51,52,60,ifu,cloud
52,53,61,inkungu,fog
53,54,62,izulu,weather
54,55,64,iqhwa,ice
55,56,65,intuthu,fumes
56,57,66,umlilo,fire
57,58,68,umgwaqo,road
58,59,69,intaba,mountain
59,60,71,kumnyama,it's dark
60,61,72,ubusuku,night
61,62,74,kude,away
62,63,75,kwesokudla,right
