Zulu,English
umfazi,wife
indoda,man
umuntu,person
umntwana,baby
inkosikazi,wife
umyeni,husband
umama,mother
ubaba,father
isilwane,animal
inhlanzi,fish
inyoni,fowl
inja,dog
intwala,louse
inyoka,snake
isibungu,maggot
isihlahla,tree
ihlathi,forest
induku,stick
isithelo,product
imbewu,seed
ikhasi,sheet
impande,root
igxolo,bark
imbali,flower
utshani,grass
intambo,string
isikhumba,skin
inyama,flesh
igazi,blood
ithambo,bone
amafutha,fat
iqanda,egg
uphondo,horn
umsila,tail
uphaphe,feather
unwele,cobreak
ikhanda,head
indlebe,ear
ihlo,eye
ikhala,nose
umlomo,mouth
izinyo,tooth
ulimi,language
uzipho,claw
unyawo,foot
umlenze,leg
idolo,knee
isandla,hand
iphiko,wing
isisu,pregnancy
ithumbu,tube
intamo,neck
umhlane,back
ibele,breast
inhliziyo,heart
isibindi,courage
phuza,drink
ilanga,sun
inyanga,month
imbasa,star
amanzi,water
imvula,rain
umfula,river
ichibi,lake
ulwandle,ocean
itswayi,salt
itshe,stone
isihlabathi,sand
uthuli,dust
umhlaba,territory
ifu,cloud
inkungu,fog
izulu,weather
umoya,spirit
iqhwa,ice
intuthu,fumes
umlilo,fire
umlotha,ash
umgwaqo,road
intaba,mountain
kumhlophe,It's white
kumnyama,it's dark
ubusuku,night
usuku,day
unyaka,year
eduze,close
kude,away
kwesokudla,right
